ID	Name	Examine
339	Cod	Some nicely cooked fish.
340		
341	Raw cod	I should try cooking this.
342		
343	Burnt fish	Oops!
344		
345	Raw herring	I should try cooking this.
346		
347	Herring	Some nicely cooked fish.
348		
349	Raw pike	I should try cooking this.
350		
351	Pike	Some nicely cooked Pike.
352		
353	Raw mackerel	I should try cooking this.
354		
355	Mackerel	Some nicely cooked fish.
356		
357	Burnt fish	Oops!
358		
359	Raw tuna	I should try cooking this.
360		
361	Tuna	Wow, this is a big fish.
362		
363	Raw bass	I should try cooking this.
364		
365	Bass	Wow, this is a big fish.
366		
367	Burnt fish	Oops!
368		
369	Burnt fish	Oops!
370		
371	Raw swordfish	I should try cooking this.
372		
373	Swordfish	I'd better be careful eating this!
374		
375	Burnt swordfish	Oops!
376		
377	Raw lobster	I should try cooking this.
378		
379	Lobster	This looks tricky to eat.
380		
381	Burnt lobster	Oops!
382		
383	Raw shark	I should try cooking this.
384		
385	Shark	I'd better be careful eating this.
386		
387	Burnt shark	Oops!
388		
389	Raw manta ray	A rare catch.
390		
391	Manta ray	A rare catch.
392		
393	Burnt manta ray	Oops!
394		
395	Raw sea turtle	A rare catch.
396		
397	Sea turtle	Tasty!
398		
399	Burnt sea turtle	Oops!
400		
401	Seaweed	Slightly damp seaweed.
402		
403	Edible seaweed	Slightly damp seaweed.
404		
405	Casket	I hope there's treasure in it.
406		
407	Oyster	It's a rare oyster.
408		
409	Empty oyster	It's empty.
410		
411	Oyster pearl	I could work wonders with a chisel on this pearl.
412		
413	Oyster pearls	I could work wonders with a chisel on these pearls.
414		
415	Ethenea	An expensive colourless liquid.
416	Liquid honey	This isn't worth much.
417	Sulphuric broline	It's highly poisonous.
418	Plague sample	Probably best I don't keep this too long.
419	Touch paper	A special kind of paper.
420	Distillator	Apparently it distills.
421	Lathas' amulet	Yup. It's an amulet.
422	Bird feed	Birds love this stuff!
423	Key	Opens things.
424	Pigeon cage	It's full of pigeons.
425	Pigeon cage	It's empty...
426	Priest gown	Top half of a priest suit.
427		
428	Priest gown	Bottom half of a priest suit.
429		
430	Doctors' gown	Medical looking.
431	Karamjan rum	A very strong spirit brewed in Karamja.
432	Chest key	A key to One eyed Hector's chest.
433	Pirate message	Pirates don't have the best handwriting...
434	Clay	Some hard dry clay.
435		
436	Copper ore	This needs refining.
437		
438	Tin ore	This needs refining.
439		
440	Iron ore	This needs refining.
441		
442	Silver ore	This needs refining.
443		
444	Gold ore	This needs refining.
445		
446	'perfect' gold ore	This needs refining.
447	Mithril ore	This needs refining.
448		
449	Adamantite ore	This needs refining.
450		
451	Runite ore	This needs refining.
452		
453	Coal	Hmm a non-renewable energy source!
454		
455	Barcrawl card	The official Alfred Grimhand bar crawl card.
456	Scorpion cage	It's empty!
457	Scorpion cage	There is 1 scorpion inside.
458	Scorpion cage	There are 2 scorpions inside.
459	Scorpion cage	There are 2 scorpions inside.
460	Scorpion cage	There is 1 scorpion inside.
461	Scorpion cage	There are 2 scorpions inside.
462	Scorpion cage	There is 1 scorpion inside.
463	Scorpion cage	There are 3 scorpions inside.
464	Strange fruit	I wonder what this tastes like?
465		
466	Pickaxe handle	Useless without the head.
467		
468	Broken pickaxe	Nurmof can fix this for me.
469		
470	Broken pickaxe	Nurmof can fix this for me.
471		
472	Broken pickaxe	Nurmof can fix this for me.
473		
474	Broken pickaxe	Nurmof can fix this for me.
475		
476	Broken pickaxe	Nurmof can fix this for me.
477		
478	Broken pickaxe	Nurmof can fix this for me.
479		
480	Bronze pick head	It's missing a handle.
481		
482	Iron pick head	It's missing a handle.
483		
484	Steel pick head	It's missing a handle.
485		
486	Mithril pick head	It's missing a handle.
487		
488	Adamant pick head	It's missing a handle.
489		
490	Rune pick head	It's missing a handle.
491		
492	Axe handle	Useless without the head.
493		
494	Broken axe	Bob can fix this for me.
495		
496	Broken axe	Bob can fix this for me.
497		
498	Broken axe	Bob can fix this for me.
499		
500	Broken axe	Bob can fix this for me.
501		
502	Broken axe	Bob can fix this for me.
503		
504	Broken axe	Bob can fix this for me.
505		
506	Broken axe	Bob can fix this for me.
507		
508	Bronze axe head	It's missing a handle.
509		
510	Iron axe head	It's missing a handle.
511		
512	Steel axe head	It's missing a handle.
513		
514	Black axe head	It's missing a handle.
515		
516	Mithril axe head	It's missing a handle.
517		
518	Adamant axe head	It's missing a handle.
519		
520	Rune axe head	It's missing a handle.
521		
522	Enchanted beef	I don't fancy eating this now.
523	Enchanted rat	I don't fancy eating this now.
524	Enchanted bear	I don't fancy eating this now.
525	Enchanted chicken	I don't fancy eating this now.
526	Bones	Bones are for burying!
527		
528	Burnt bones	Bones are for burying!
529		
530	Bat bones	Ew it's a pile of bones.
531		
532	Big bones	Ew it's a pile of bones.
533		
534	Babydragon bones	Ew it's a pile of bones.
535		
536	Dragon bones	These would feed a dog for months!
537		
538	Druid's robe	Keeps a druid's knees nice and warm.
539		
540	Druid's robe	I feel closer to the gods when I am wearing this.
541		
542	Monk's robe	Keeps a monk's knees nice and warm.
543		
544	Monk's robe	I feel closer to the gods when I am wearing this.
545		
546	Shade robe	I feel closer to the gods when I am wearing this.
547		
548	Shade robe	If a shade had knees, this would keep them nice and warm.
549		
550	Newcomer map	Issued by RuneScape Council to all new citizens.
551		
552	Ghostspeak amulet	It lets me talk to ghosts.
553	Ghost's skull	Ooooh spooky!
554	Fire rune	One of the 4 basic elemental Runes.
555	Water rune	One of the 4 basic elemental Runes.
556	Air rune	One of the 4 basic elemental Runes.
557	Earth rune	One of the 4 basic elemental Runes.
558	Mind rune	Used for basic level missile spells.
559	Body rune	Used for curse spells.
560	Death rune	Used for medium level missile spells.
561	Nature rune	Used for alchemy spells.
562	Chaos rune	Used for low level missile spells.
563	Law rune	Used for teleport spells.
564	Cosmic rune	Used for enchant spells.
565	Blood rune	Used for high level missile spells.
566	Soul rune	Used for high level curse spells.
567	Unpowered orb	I'd prefer it if it was powered.
568		
569	Fire orb	A magic glowing orb.
570		
571	Water orb	A magic glowing orb.
572		
573	Air orb	A magic glowing orb.
574		
575	Earth orb	A magic glowing orb.
576		
577	Wizard robe	I can do magic better in this.
578		
579	Wizard hat	A silly pointed hat.
580		
581	Black robe	I can do magic better in this.
582		
583	Bailing bucket	It's a bailing bucket.
584		
585	Bailing bucket	It's a bailing bucket full of salty water.
586		
587	Orb of protection	A strange glowing green orb.
588	Orbs of protection	Two strange glowing green orbs.
589	Gnome amulet	It's an amulet of protection given to me by the gnomes.
590	Tinderbox	Useful for lighting a fire.
591		
592	Ashes	A heap of ashes.
593		
594	Lit torch	A lit home-made torch.
595	Torch	A lit home-made torch.
596	Unlit torch	An unlit home-made torch.
597		
598	Bronze fire arrows	Arrows with bronze heads and oil soaked cloth.
599	Double helix	Who says it's just manners that maketh man?
600	Astrology book	A book on the history of Astrology in RuneScape.
601	Keep key	A small key for a jail door.
602	Lens mould	An unusual clay mould in the shape of a disc.
603	Lens	A perfectly circular disc of glass.
604	Bone shard	A slender bone shard given to you by Zadimus.
605	Bone key	A bone key fashioned from a shard of bone.
606	Stone-plaque	A stone plaque with carved letters in it.
607	Tattered scroll	An ancient tattered scroll.
608	Crumpled scroll	An ancient crumpled scroll.
609	Rashiliyia corpse	The remains of the Zombie Queen.
610	Zadimus corpse	The remains of Zadimus.
611	Locating crystal	A magical crystal sphere.
612	Locating crystal	A magical crystal sphere.
613	Locating crystal	A magical crystal sphere.
614	Locating crystal	A magical crystal sphere.
615	Locating crystal	A magical crystal sphere.
616	Beads of the dead	A curious looking neck ornament.
617	Coins	Lovely money!
618	Bone beads	Beads carved out of a bone.
619	Paramaya ticket	Allows you to rest in the luxurious Paramayer Inn.
620		
621	Ship ticket	Allows you passage on the 'Lady of the waves' ship.
622		
623	Sword pommel	An ivory sword pommel.
624	Bervirius notes	Notes taken from the tomb of Bervirius.
625	Wampum belt	A decorated belt used to trade information between distant villages.
626	Boots	They're soft and silky.
627		
628	Boots	They're soft and silky.
629		
630	Boots	They're soft and silky.
631		
632	Boots	They're soft and silky.
633		
634	Boots	They're soft and silky.
635		
636	Robe top	The ultimate in gnome design.
637		
638	Robe top	The ultimate in gnome design.
639		
640	Robe top	The ultimate in gnome design.
641		
642	Robe top	The ultimate in gnome design.
643		
644	Robe top	The ultimate in gnome design.
645		
646	Robe bottoms	Made by Tree Gnomes.
647		
648	Robe bottoms	Made by Tree Gnomes.
649		
650	Robe bottoms	Made by Tree Gnomes.
651		
652	Robe bottoms	Made by Tree Gnomes.
653		
654	Robe bottoms	Made by Tree Gnomes.
655		
656	Hat	A silly pointed hat.
657		
658	Hat	A silly pointed hat.
659		
660	Hat	A silly pointed hat.
661		
662	Hat	A silly pointed hat.
663		
664	Hat	A silly pointed hat.
665		
666	Portrait	Picture of a posing Paladin.
667	Blurite sword	A Faladian Knight's sword.
668	Blurite ore	Definitely blue.
669	Specimen jar	A receptacle for specimens!
670	Specimen brush	A small brush used to clean rock samples.
671	Rock sample 1	A carefully-kept-safe rock sample.
672	Rock sample 2	A carefully-kept-safe rock sample.
673	Rock sample 3	A carefully-kept-safe rock sample.
674	Rock sample	A rough shaped piece of rock.
675	Rock pick	A small pick for cracking rock samples.
676	Trowel	Used for digging!
677	Panning tray	An empty tray for panning.
678	Panning tray	This tray contains gold.
679	Panning tray	This tray contains mud.
680	Nuggets	Pure, lovely gold!
681	Zaros talisman	An unusual symbol of a lesser-known god.
682	Unstamped letter	A scroll waiting to be stamped.
683	Stamped letter	A stamped scroll of recommendation.
684	Belt buckle	Used to hold up trousers!
685	Old boot	Phew!
686	Rusty sword	A decent enough weapon gone rusty.
687	Broken arrow	This must have been shot at high speed.
688	Buttons	Not Dick Whittington's helper at all!
689	Broken staff	I pity the poor person beaten with this!
690	Broken glass	Watch those feet!
691	Level 1 certificate	The owner has passed the Earth Sciences level 1 exam.
692	Level 2 certificate	The owner has passed Earth Sciences level 2 exam.
693	Level 3 certificate	The owner has passed Earth Sciences level 3 exam.
694	Ceramic remains	Smashing!
695	Old tooth	Now if I can just find a tooth fairy to sell this to...
696	Invitation letter	A letter inviting me to use the private digshafts.
697	Damaged armour	Beyond repair.
698	Broken armour	No use to me...
699	Stone tablet	An old stone slab with writing on it.
700	Chemical powder	An acrid chemical.
701	Ammonium nitrate	An acrid chemical.
702	Unidentified liquid	A strong chemical.
703	Nitroglycerin	A strong chemical.
704	Ground charcoal	Charcoal, crushed to small pieces!
705	Mixed chemicals	A mixture of strong chemicals.
706	Mixed chemicals	A mixture of strong chemicals.
707	Chemical compound	A mixture of strong chemicals.
708	Arcenia root	The root of an Arcenia plant.
709	Chest key	This fits a chest.
710	Vase	A vessel for holding plants.
711	Book on chemicals	It's about chemicals, judging from its cover.
712	Cup of tea	A refreshing cuppa.
713	Enjifern	Truly fun to have around.
714	Radimus notes	Notes given to you by Radimus Erkle, it includes a partially completed map.
715	Radimus notes	Notes given to you by Radimus Erkle, it includes a partially completed map.
716	Bull roarer	It makes a loud but interesting sound when swung in the air.
717	Scrawled note	A scrawled note with spidery writing on it.
718	A scribbled note	A scrawled note with spidery writing on it.
719	Scrumpled note	A scrawled note with spidery writing on it.
720	Sketch	A rough sketch of a bowl shaped vessel given to you by Gujuo.
721	Gold bowl	A specially made bowl constructed out of pure gold.
722	Blessed gold bowl	A specially made bowl constructed out of pure gold and blessed.
723	Golden bowl	A specially made golden bowl with water.
724	Golden bowl	A specially made bowl constructed out of pure gold. It has pure water in it.
725	Golden bowl	A blessed golden bowl. It has water in it.
726	Golden bowl	A blessed golden bowl. It has pure sacred water in it.
727	Hollow reed	One of nature's pipes.
728		
729	Shamans tome	It looks like the Shamans personal notes...
730	Book of binding	An ancient tome on Demonology.
731	Enchanted vial	An enchanted empty glass vial.
732	Holy water	A vial of holy water, good against certain demons.
733	Smashed glass	Fragments of a broken container.
734		
735	Yommi tree seeds	These need to be germinated before they can be used.
736	Yommi tree seeds	These are germinated and ready to be planted in fertile soil.
737	Snakeweed mixture	It's a mixture of Snakeweed and water. Needs another ingredient.
738	Ardrigal mixture	It's a mixture of Ardrigal and water. Needs another ingredient.
739	Bravery potion	A bravery potion for which Gujuo gave you the details, let's hope it works.
740	Blue hat	A strange blue wizards hat.
741	Chunk of crystal	It looks like it's been snapped off of something.
742	Hunk of crystal	It looks like it's been snapped off of something.
743	Lump of crystal	It looks like it's been snapped off of something.
744	Heart crystal	A heart shaped crystal.
745	Heart crystal	A heart shaped crystal.
746	Dark dagger	A black obsidian dagger, it has a strange aura about it.
747	Glowing dagger	A black obsidian dagger, it has a strange aura about it - it seems to be glowing.
748	Holy force	A powerful spell for good.
749	Yommi totem	A well carved totem pole made from the trunk of a Yommi tree.
750	Gilded totem	A gilded totem pole from the Kharazi tribe.
751	Gnomeball	A ball used in Gnomeball.
752		
753	Cadava berries	Poisonous berries.
754		
755	Message	A message from Juliet to Romeo.
756	Cadava potion	I'm meant to give this to Juliet.
757	Book	The Shield of Arrav by A R Wright.
758	Key	The key to get into the Phoenix Gang HQ.
759	Key	The key to the Phoenix Gang's weapons store.
760		
761	Scroll	An intelligence report.
762		
763	Broken shield	Half of the Shield of Arrav.
764		
765	Broken shield	Half of the Shield of Arrav.
766		
767	Phoenix crossbow	Former property of the Phoenix Gang.
768		
769	Certificate	I can use this to claim a reward from the King.
770		
771	Dramen branch	A limb of the fabled Dramen tree.
772	Dramen staff	Crafted from a Dramen tree branch.
773	'perfect' ring	A perfect ruby ring.
774	'perfect' necklace	A perfect ruby necklace.
775	Cooking gauntlets	These gauntlets empower with a greater ability to cook fish.
776	Goldsmith gauntlet	These gauntlets empower the bearer whilst making gold.
777	Chaos gauntlets	These gauntlets empower spell casters.
778	Steel gauntlets	My reward for assisting the Fitzharmon family.
779	Crest part	A fragment of the Fitzharmon family crest.
780	Crest part	A fragment of the Fitzharmon family crest.
781	Crest part	A fragment of the Fitzharmon family crest.
782	Family crest	The Fitzharmon family crest.
783	Bark sample	A sample of the bark from the Grand Tree.
784	Translation book	A book to translate the ancient gnome language into English.
785	Glough's journal	Perhaps I should read it and see what Glough is up to!
786	Hazelmere's scroll	Hazelmere wrote something down on this scroll.
787	Lumber order	An order from the Karamja shipyard.
788	Glough's key	The key to Glough's chest.
789	Twigs	Twigs bound together in the shape of a T.
790	Twigs	Twigs bound together in the shape of a U.
791	Twigs	Twigs bound together in the shape of a Z.
792	Twigs	Twigs bound together in the shape of a O.
793	Daconia rock	An ancient rock with strange magical properties.
794	Invasion plans	These are plans for an invasion!
795	War ship	A model of a Karamja warship.
796	Exploding vial	An exploding vial.
797	Herb bowl	A bowl of herbs.
798	Grinder	A grinder.
799		
800	Bronze thrownaxe	A finely balanced throwing axe.
801	Iron thrownaxe	A finely balanced throwing axe.
802	Steel thrownaxe	A finely balanced throwing axe.
803	Mithril thrownaxe	A finely balanced throwing axe.
804	Adamnt thrownaxe	A finely balanced throwing axe.
805	Rune thrownaxe	A finely balanced throwing axe.
806	Bronze dart	A deadly throwing dart with a bronze tip.
807	Iron dart	A deadly throwing dart with an iron tip.
808	Steel dart	A deadly throwing dart with a steel tip.
809	Mithril dart	A deadly throwing dart with a mithril tip.
810	Adamant dart	A deadly throwing dart with an adamantite tip.
811	Rune dart	A deadly throwing dart with a rune tip.
812	Bronze dart(p)	A deadly poisoned dart with a bronze tip.
813	Iron dart(p)	A deadly poisoned dart with an iron tip.
814	Steel dart(p)	A deadly poisoned dart with a steel tip.
815	Mithril dart(p)	A deadly poisoned dart with a mithril tip.
816	Adamant dart(p)	A deadly poisoned dart with an adamantite tip.
817	Rune dart(p)	A deadly poisoned dart with a rune tip.
818	Poisoned dart(p)	A deadly throwing dart with a poisoned tip.
819	Bronze dart tip	A deadly looking dart tip made of bronze - needs feathers for flight.
820	Iron dart tip	A deadly looking dart tip made of iron - needs feathers for flight.
821	Steel dart tip	A deadly looking dart tip made of steel - needs feathers for flight.
822	Mithril dart tip	A deadly looking dart tip made of mithril - needs feathers for flight.
823	Adamant dart tip	A deadly looking dart tip made of adamantite - needs feathers for flight.
824	Rune dart tip	A deadly looking dart tip made of runite - needs feathers for flight.
825	Bronze javelin	A bronze tipped javelin.
826	Iron javelin	An iron tipped javelin.
827	Steel javelin	A steel tipped javelin.
828	Mithril javelin	A mithril tipped javelin.
829	Adamant javelin	An adamantite tipped javelin.
830	Rune javelin	A rune tipped javelin.
831	Bronze javelin(p)	A bronze tipped javelin.
832	Iron javelin(p)	An iron tipped javelin.
833	Steel javelin(p)	A steel tipped javelin.
834	Mithril javelin(p)	A mithril tipped javelin.
835	Adamant javelin(p)	An adamantite tipped javelin.
836	Rune javelin(p)	A rune tipped javelin.
837	Crossbow	This fires crossbow bolts.
838		
839	Longbow	A nice sturdy bow.
840		
841	Shortbow	Short but effective.
842		
843	Oak shortbow	A shortbow made out of oak, still effective.
844		
845	Oak longbow	A nice sturdy bow made out of oak.
846		
847	Willow longbow	A nice sturdy bow made out of willow.
848		
849	Willow shortbow	A shortbow made out of willow, still effective.
850		
851	Maple longbow	A nice sturdy bow made out of Maple.
852		
853	Maple shortbow	A shortbow made out of Maple, still effective.
854		
855	Yew longbow	A nice sturdy bow made out of yew.
856		
857	Yew shortbow	A shortbow made out of yew, still effective.
858		
859	Magic longbow	A nice sturdy magical bow.
860		
861	Magic shortbow	Short and magical, but still effective.
862		
863	Iron knife	A finely balanced throwing knife.
864	Bronze knife	A finely balanced throwing knife.
865	Steel knife	A finely balanced throwing knife.
866	Mithril knife	A finely balanced throwing knife.
867	Adamant knife	A finely balanced throwing knife.
868	Rune knife	A finely balanced throwing knife.
869	Black knife	A finely balanced throwing knife.
870	Bronze knife(p)	A finely balanced throwing knife.
871	Iron knife(p)	A finely balanced throwing knife.
